BinID,bin_level,Time
BIN_001,64.26,2025-03-02T19:14:21.253637+08:00
BIN_001,68.94,2025-03-02T19:24:20.919174+08:00
BIN_001,69.79,2025-03-02T19:34:20.580739+08:00
BIN_001,69.36,2025-03-02T19:44:20.239814+08:00
BIN_001,68.51,2025-03-02T19:54:19.897167+08:00
BIN_001,67.66,2025-03-02T20:04:19.558149+08:00
BIN_001,68.94,2025-03-02T20:14:19.216725+08:00
BIN_001,62.98,2025-03-02T20:24:18.874414+08:00
BIN_001,69.36,2025-03-02T20:34:18.534196+08:00
BIN_001,69.79,2025-03-02T20:44:18.195257+08:00
BIN_001,65.11,2025-03-02T20:54:17.853214+08:00
BIN_001,68.94,2025-03-02T21:04:17.515133+08:00
BIN_001,66.81,2025-03-02T21:14:17.172704+08:00
BIN_001,68.51,2025-03-02T21:24:16.831013+08:00
BIN_001,68.09,2025-03-02T21:34:16.492244+08:00
BIN_001,68.51,2025-03-02T21:44:16.150408+08:00
BIN_001,68.94,2025-03-02T21:54:15.812933+08:00
BIN_001,62.98,2025-03-02T22:04:15.474712+08:00
BIN_001,69.36,2025-03-02T22:14:15.133174+08:00
BIN_001,68.94,2025-03-02T22:24:14.793071+08:00
BIN_001,68.51,2025-03-02T22:34:14.454860+08:00
BIN_001,68.51,2025-03-02T22:44:14.112920+08:00
BIN_001,65.11,2025-03-02T22:54:13.778084+08:00
BIN_001,65.11,2025-03-02T23:04:13.439902+08:00
BIN_001,79.15,2025-03-02T23:16:03.448388+08:00
BIN_001,77.45,2025-03-02T23:26:03.093336+08:00
BIN_001,77.02,2025-03-02T23:36:02.741373+08:00
BIN_001,76.6,2025-03-02T23:46:02.382768+08:00
BIN_001,78.72,2025-03-02T23:56:02.031432+08:00
BIN_001,75.74,2025-03-03T00:06:01.673285+08:00
BIN_001,77.02,2025-03-03T00:16:01.318910+08:00
BIN_001,76.17,2025-03-03T00:26:00.961756+08:00
BIN_001,75.74,2025-03-03T00:36:00.605381+08:00
BIN_001,76.6,2025-03-03T00:46:00.250610+08:00
BIN_001,76.6,2025-03-03T00:55:59.892694+08:00
BIN_001,76.6,2025-03-03T01:05:59.537881+08:00
BIN_001,75.74,2025-03-03T01:15:59.183405+08:00
BIN_001,76.17,2025-03-03T01:25:58.834319+08:00
BIN_001,74.89,2025-03-03T01:35:58.480412+08:00
BIN_001,75.32,2025-03-03T01:45:58.125838+08:00
BIN_001,76.17,2025-03-03T01:55:57.771424+08:00
BIN_001,75.32,2025-03-03T02:05:57.417354+08:00
BIN_001,75.74,2025-03-03T02:15:57.063476+08:00
BIN_001,74.89,2025-03-03T02:25:56.710108+08:00
BIN_001,74.47,2025-03-03T02:35:56.363167+08:00
BIN_001,75.74,2025-03-03T02:45:56.013061+08:00
BIN_001,74.47,2025-03-03T02:55:55.663376+08:00
BIN_001,75.32,2025-03-03T03:05:55.313200+08:00
BIN_001,75.32,2025-03-03T03:15:54.962155+08:00
BIN_001,75.32,2025-03-03T03:25:54.609095+08:00
BIN_001,75.32,2025-03-03T03:35:54.258616+08:00
BIN_001,75.74,2025-03-03T03:45:53.908808+08:00
BIN_001,74.04,2025-03-03T03:55:53.559106+08:00
BIN_001,75.32,2025-03-03T04:05:53.204961+08:00
BIN_001,74.04,2025-03-03T04:15:52.850446+08:00
BIN_001,75.32,2025-03-03T04:25:52.496544+08:00
